product_name,manufacturer,upc,model,ndb_number,price,unit_mappings,aliases,ingredient,expected_qty,location_name,quantity,unit
White sugar,C&H,015800030621,,,,4 lb = $5 @ whole foods; 4 lb = 1each @ general,sugar;granulated sugar,true,,,,
powdered sugar,generic,,,19336,,2 lb = $5 @ whole foods,confectioner's sugar;confectioners sugar,true,,,,
All Purpose Flour,King Arthur,071012010509,,,,5 lb = $8 @ whole foods; 1 cup = 120g @ unk,AP flour;flour;white flour;all-purpose flour,true,,,,
All Purpose Flour,Bob's Red Mill,039978533012,,,,5 lb = $7 @ whole foods; 1 cup = 120g @ unk,AP flour;flour;white flour;all-purpose flour,true,,,,
pastry flour,generic,075211436504,,,,5 lb = $8 @ whole foods; 1 cup = 120g @ unk,,true,,,,
cake flour,generic,,,20084,,5 lb = $8 @ whole foods; 1 cup = 120g @ unk,,true,,,,
whole wheat flour,generic,,,20649,,5 lb = $8 @ whole foods; 1 cup = 120g @ unk,,true,,,,
large brown eggs,generic,,,1123,,12 whole = $7 @ whole foods; 1 whole = 50grams @ general; 4.86 large = 1 cup @ usda,eggs;large egg;large eggs;egg;large brown egg,true,,,,
large brown eggs,Pete & Gerry's,815652004142,,,,,eggs;large egg;large eggs;egg;large brown egg,true,,,,
butter,generic,,,1145,,1 stick = 113g @ whole foods; 4 stick = $8 @ whole foods,unsalted butter,true,,,,
milk,generic,,,1077,,1 ml = 1g @ unk; 0.5 Quart = $3 @ general; 1 Cup = 236.588ml @ TEST,,true,,,,
olive oil,generic,,,4053,,1 ml = 0.9g @ unk; 2 liter = $23 @ costco,Extra Virgin Olive Oil;evoo,true,,,,
olive oil,CA olive range,850687100339,,,,15 dollars = 500ml @ whole foods,Extra Virgin Olive Oil;evoo,true,,,,
vegetable oil,generic,,,44005,,1 ml = 0.9g @ unk; 1 liter = $6 @ whole foods,,true,,,,
canola oil,generic,,,4582,,1 ml = 0.9g @ unk; 1 liter = $6 @ whole foods,,true,,,,
avocado oil,generic,,,4581,,1 ml = 0.9g @ unk; 2 liter = $23 @ costco,,true,,,,
water,generic,,,14411,,1 ml = 1g @ unk; 11968 cups = $11.4 @ sf puc,,true,,,,
kosher salt,Diamond Crystal,013600020019,,,,3 lb = $8 @ whole foods,salt,true,,,,
baking soda,Arm & Hammer,033200011408,,18372,,10 oz = $3 @ whole foods; 1 cup = 520.49grams @ google search,,true,,,,
baking powder,Clabber Girl,019900003202,,18369,,10 oz = $3 @ whole foods,,true,,,,
ginger,generic,,,11216,,1 lb = $4 @ safeway,,true,,,,
ground ginger,generic,,,2021,,2 oz = $8 @ whole foods,,true,,,,
ground cinnamon,generic,,,2010,,2 oz = $8 @ whole foods,,true,,,,
nutmeg,generic,,,2025,,2 oz = $8 @ whole foods,,true,,,,
black pepper,generic,,,2030,,2 oz = $8 @ whole foods; 1 tsp = 1tsp ground @ tmp,pepper,true,,,,
cilantro,generic,,,11165,,1 bunch = $2 @ whole foods; 1 bunch = 100sprig @ general; 1 bunch = 1each @ general,,true,,,,
molasses,generic,,,19304,,2 oz = $8 @ whole foods,,true,,,,
vanilla extract,generic,,,2050,,2 oz = $8 @ whole foods,,true,,,,
salsa,generic,,,6164,,2 cups = $6 @ whole foods,,true,,,,
Packout toolbag,Milwaukee,045242505296,48-22-8315,,99,,,false,1,toolbag,1,each
Ryobi Angle Grinder,Ryobi,033287188048,PBLAG01B,,129,,,false,1,oscillating and grinder,1,each
Ryobi Oscillating Tool,Ryobi,033287190706,PBLMT50B,,129,,,false,1,oscillating and grinder,1,each
angle grinder discs,generic,,,,4,,,false,,oscillating and grinder,1,each
oscillating toolblades,generic,,,,8,,,false,,oscillating and grinder,1,each
M18 Hackzall,Milwaukee,045242502776,2719-20,,169,,,false,1,,,
